SessionID;Date;CustomerID;CampaignID;Source;Medium;PageViews;EngagedSessions;Conversion
SID-00001;13.06.2023;CUST-2038;CMP-13;youtube;video;2;1;1
SID-00002;25.01.2025;CUST-1705;(not set);(direct);none;3;1;0
SID-00003;07.01.2025;CUST-1808;(not set);(direct);none;3;1;0
SID-00004;16.07.2024;CUST-2391;CMP-10;youtube;video;4;1;0
SID-00005;12.07.2024;CUST-2204;(not set);google;cpc;3;0;0
SID-00006;31.07.2024;CUST-1511;(not set);(direct);none;2;1;0
SID-00007;08.01.2024;CUST-2017;(not set);google;cpc;1;1;0
SID-00008;21.02.2024;CUST-2123;CMP-13;newsletter;email;3;1;0
SID-00009;29.07.2024;CUST-1599;(not set);instagram;social;1;0;0
SID-00010;07.04.2024;CUST-1401;(not set);youtube;video;5;1;0
SID-00011;19.08.2025;CUST-2151;CMP-12;youtube;video;1;1;0
SID-00012;01.06.2023;CUST-2205;(not set);(direct);none;3;1;0
SID-00013;14.12.2024;CUST-1260;CMP-14;google;cpc;1;1;0
SID-00014;08.12.2024;CUST-2143;(not set);google;cpc;3;1;1
SID-00015;16.03.2024;CUST-2172;CMP-14;google;cpc;3;0;0
SID-00016;09.03.2024;CUST-1504;(not set);facebook;social;3;1;0
SID-00017;15.07.2024;CUST-1431;(not set);google;cpc;2;1;0
SID-00018;09.10.2024;CUST-2486;(not set);facebook;social;3;0;0
SID-00019;16.07.2025;CUST-2351;(not set);facebook;social;7;1;0
SID-00020;25.02.2023;CUST-1695;(not set);newsletter;email;1;1;1
SID-00021;01.01.2025;CUST-2459;(not set);google;cpc;2;1;0
SID-00022;05.01.2024;CUST-1818;CMP-07;instagram;social;3;1;0
SID-00023;26.07.2025;CUST-2145;CMP-13;google;cpc;9;1;0
SID-00024;02.09.2024;CUST-2169;(not set);google;cpc;5;1;1
SID-00025;03.05.2025;CUST-2004;CMP-06;bing;cpc;3;1;1
SID-00026;09.05.2023;CUST-2009;CMP-02;google;cpc;1;1;0
SID-00027;12.05.2023;CUST-2201;(not set);newsletter;email;5;0;0
SID-00028;31.03.2024;CUST-2338;(not set);google;cpc;5;0;0
SID-00029;09.09.2023;CUST-1982;CMP-07;google;cpc;3;1;0
SID-00030;04.09.2023;CUST-2474;CMP-10;bing;cpc;5;1;0
SID-00031;06.10.2024;CUST-2465;(not set);(direct);none;2;0;0
SID-00032;28.08.2023;CUST-1402;CMP-09;(direct);none;3;1;1
SID-00033;01.05.2023;CUST-1229;(not set);(direct);none;1;0;0
SID-00034;18.07.2023;CUST-1573;(not set);newsletter;email;4;1;0
SID-00035;08.10.2023;CUST-1779;CMP-05;bing;cpc;4;0;0
SID-00036;22.11.2024;CUST-2167;CMP-14;instagram;social;4;0;0
SID-00037;09.07.2025;CUST-1033;CMP-13;youtube;video;7;0;0
SID-00038;12.09.2024;CUST-1915;(not set);(direct);none;3;0;0
SID-00039;24.09.2023;CUST-2134;(not set);google;cpc;9;1;0
SID-00040;14.04.2023;CUST-1740;(not set);(direct);none;2;1;0
SID-00041;06.08.2025;CUST-2366;(not set);bing;cpc;2;0;0
SID-00042;25.10.2024;CUST-2377;CMP-04;youtube;video;4;0;0
SID-00043;01.07.2023;CUST-2193;(not set);google;cpc;9;1;1
SID-00044;21.06.2023;CUST-1704;CMP-05;google;cpc;1;1;0
SID-00045;13.08.2024;CUST-2379;CMP-01;instagram;social;7;1;0
SID-00046;19.11.2024;CUST-1043;(not set);instagram;social;3;0;0
SID-00047;16.04.2024;CUST-1145;CMP-08;newsletter;email;5;1;0
SID-00048;14.05.2023;CUST-1719;(not set);facebook;social;5;1;0
SID-00049;24.07.2025;CUST-1830;CMP-05;bing;cpc;5;1;0
SID-00050;22.08.2024;CUST-2093;CMP-07;facebook;social;3;1;0
SID-00049;24.07.2025;CUST-1830;CMP-05;bing;cpc;5;1;0
SID-00050;22.08.2024;CUST-2093;CMP-07;facebook;social;3;1;0
SID-00051;18.01.2025;CUST-2395;(not set);facebook;social;2;1;0
SID-00052;04.03.2023;CUST-1908;(not set);(direct);none;3;1;1
SID-00053;29.03.2025;CUST-1900;CMP-03;facebook;social;1;1;0
SID-00054;22.03.2023;CUST-1174;(not set);newsletter;email;3;1;1
SID-00055;14.01.2025;CUST-1617;CMP-06;facebook;social;2;1;0
SID-00056;16.08.2024;CUST-2204;CMP-07;(direct);none;2;1;0
SID-00057;12.09.2023;CUST-1991;CMP-14;youtube;video;4;1;0
SID-00058;30.08.2025;CUST-1368;(not set);facebook;social;2;1;0
SID-00059;11.06.2025;CUST-2226;(not set);instagram;social;3;1;0
SID-00060;11.07.2024;CUST-1678;(not set);bing;cpc;5;1;0
SID-00061;18.12.2023;CUST-2056;CMP-07;instagram;social;3;0;0
SID-00062;19.07.2024;CUST-2459;(not set);newsletter;email;4;0;0
SID-00063;15.10.2024;CUST-1275;(not set);youtube;video;5;1;0
SID-00064;03.04.2025;CUST-1477;CMP-13;instagram;social;3;1;0
SID-00065;10.03.2024;CUST-1884;CMP-07;instagram;social;3;1;0
SID-00066;05.12.2023;CUST-2081;(not set);newsletter;email;2;0;0
SID-00067;29.09.2025;CUST-2016;(not set);instagram;social;7;1;0
SID-00068;12.05.2023;CUST-2474;CMP-06;facebook;social;2;0;0
SID-00069;13.05.2023;CUST-2117;CMP-11;newsletter;email;7;1;0
SID-00070;21.02.2024;CUST-2457;(not set);google;cpc;2;1;0
SID-00071;13.04.2024;CUST-2254;(not set);(direct);none;9;1;0
SID-00072;05.06.2023;CUST-1929;(not set);bing;cpc;5;1;0
SID-00073;01.01.2024;CUST-1206;(not set);facebook;social;3;1;0
SID-00074;23.02.2024;CUST-1969;CMP-05;instagram;social;3;0;0
SID-00075;09.12.2023;CUST-1860;(not set);google;cpc;1;1;0
SID-00076;26.08.2023;CUST-1948;(not set);google;cpc;3;1;0
SID-00077;15.05.2024;CUST-1211;CMP-08;facebook;social;7;0;0
SID-00078;11.02.2024;CUST-1021;CMP-02;facebook;social;5;1;0
SID-00079;13.05.2023;CUST-1207;CMP-09;instagram;social;4;0;0
SID-00080;29.08.2025;CUST-1638;(not set);youtube;video;9;1;0
SID-00081;12.09.2024;CUST-2466;(not set);google;cpc;3;1;1
SID-00082;21.11.2023;CUST-1961;CMP-10;facebook;social;4;1;0
SID-00083;23.07.2025;CUST-1802;(not set);youtube;video;7;0;0
SID-00084;29.11.2023;CUST-1987;CMP-04;facebook;social;4;0;0
SID-00085;30.06.2025;CUST-2373;(not set);google;cpc;3;0;0
SID-00086;19.08.2024;CUST-1262;(not set);facebook;social;5;0;0
SID-00087;08.06.2023;CUST-1818;(not set);bing;cpc;3;1;1
SID-00088;29.12.2024;CUST-1316;CMP-14;bing;cpc;7;1;0
SID-00089;15.06.2024;CUST-1930;CMP-12;instagram;social;7;1;1
SID-00090;25.03.2025;CUST-1567;CMP-03;google;cpc;4;1;0
SID-00091;22.05.2023;CUST-2026;(not set);facebook;social;7;1;1
SID-00092;31.05.2023;CUST-1677;(not set);newsletter;email;2;1;0
SID-00093;07.08.2023;CUST-2075;(not set);newsletter;email;3;1;0
SID-00094;29.08.2025;CUST-1064;CMP-13;facebook;social;4;1;0
SID-00095;10.03.2023;CUST-2365;CMP-14;youtube;video;3;1;0
SID-00096;28.01.2024;CUST-1563;(not set);youtube;video;5;1;1
SID-00097;21.11.2024;CUST-1891;(not set);instagram;social;9;1;1
SID-00098;01.05.2025;CUST-1901;(not set);youtube;video;7;1;0
SID-00099;22.06.2025;CUST-1915;CMP-10;bing;cpc;3;1;1
SID-00100;07.04.2023;CUST-2328;(not set);google;cpc;7;1;0
SID-00101;13.04.2025;CUST-1535;(not set);youtube;video;2;0;0
SID-00102;19.02.2024;CUST-2253;(not set);newsletter;email;2;1;0
SID-00103;08.03.2025;CUST-1094;(not set);newsletter;email;9;0;0
SID-00104;29.01.2025;CUST-2306;(not set);newsletter;email;4;1;0
SID-00105;06.05.2024;CUST-1168;(not set);(direct);none;4;0;0
SID-00106;02.01.2024;CUST-2102;(not set);youtube;video;2;1;0
SID-00107;20.01.2024;CUST-2446;(not set);instagram;social;3;1;0
SID-00108;16.10.2023;CUST-1965;(not set);bing;cpc;3;1;0
SID-00109;28.01.2025;CUST-1187;(not set);google;cpc;9;1;0
SID-00110;08.02.2024;CUST-1652;(not set);bing;cpc;1;1;0
SID-00111;03.08.2024;CUST-1565;CMP-01;facebook;social;9;1;0
SID-00112;01.06.2025;CUST-1396;CMP-01;google;cpc;3;0;0
SID-00113;02.09.2025;CUST-2147;CMP-01;google;cpc;2;1;0
SID-00114;01.03.2024;CUST-1823;(not set);facebook;social;3;1;1
SID-00115;08.12.2024;CUST-1531;(not set);youtube;video;3;1;0
SID-00116;06.09.2024;CUST-1037;(not set);newsletter;email;2;1;1
SID-00117;07.01.2025;CUST-1228;(not set);facebook;social;2;1;0
SID-00118;14.11.2023;CUST-1697;(not set);newsletter;email;4;0;0
SID-00119;10.06.2023;CUST-2242;(not set);facebook;social;3;1;0
SID-00120;11.12.2024;CUST-1147;(not set);google;cpc;2;1;0
SID-00121;28.03.2023;CUST-2365;(not set);instagram;social;2;1;0
SID-00122;20.01.2024;CUST-1172;CMP-06;google;cpc;2;1;0
SID-00123;02.06.2024;CUST-2022;CMP-06;google;cpc;1;1;0
SID-00124;26.08.2025;CUST-1906;(not set);facebook;social;9;1;1
SID-00125;19.12.2024;CUST-2049;(not set);google;cpc;9;0;0
SID-00126;24.09.2023;CUST-1753;CMP-02;youtube;video;5;0;0
SID-00127;12.10.2024;CUST-1992;(not set);facebook;social;9;1;0
SID-00128;07.09.2024;CUST-1236;CMP-03;bing;cpc;4;1;1
SID-00129;01.10.2023;CUST-1446;CMP-10;(direct);none;2;1;0
SID-00130;16.04.2024;CUST-2191;CMP-06;newsletter;email;2;1;0
SID-00131;09.08.2025;CUST-1931;CMP-03;google;cpc;3;0;0
SID-00132;13.07.2025;CUST-2094;CMP-07;google;cpc;7;0;0
SID-00133;25.12.2023;CUST-1584;CMP-02;google;cpc;2;0;0
