SaleID;Date;CarID;CustomerID;DealershipID;SalePrice;LeadSource;CampaignID
SALE-0001;25.05.2025;CAR-015;CUST-1583;DLR-03;74690;Web-Campaign;CMP-07
SALE-0002;22.02.2024;CAR-006;CUST-1960;DLR-02;39480;Web-Campaign;CMP-11
SALE-0003;19.01.2025;CAR-010;CUST-1987;DLR-04;135800;Web-Campaign;CMP-14
SALE-0004;30.09.2025;CAR-013;CUST-1228;DLR-05;76000;Web-Campaign;CMP-03
SALE-0005;23.06.2023;CAR-012;CUST-2396;DLR-04;119600;Web-Campaign;CMP-04
SALE-0006;08.03.2024;CAR-004;CUST-1766;DLR-04;108100;Walk-in;(not set)
SALE-0007;20.06.2023;CAR-013;CUST-1581;DLR-03;74400;Web-Campaign;CMP-08
SALE-0008;14.05.2024;CAR-016;CUST-1572;DLR-01;84480;Web-Campaign;CMP-03
SALE-0009;09.09.2023;CAR-013;CUST-2076;DLR-01;74400;Web-Campaign;CMP-02
SALE-0010;28.01.2025;CAR-016;CUST-1320;DLR-05;80960;Walk-in;(not set)
SALE-0011;16.02.2025;CAR-002;CUST-1684;DLR-03;59520;Web-Campaign;CMP-12
SALE-0012;01.05.2025;CAR-003;CUST-1023;DLR-03;70500;Web-Organic;(not set)
SALE-0013;22.07.2025;CAR-001;CUST-2088;DLR-05;50600;Referral;(not set)
SALE-0014;27.10.2023;CAR-015;CUST-2061;DLR-04;75460;Referral;(not set)
SALE-0015;06.06.2024;CAR-015;CUST-1680;DLR-03;74690;Web-Campaign;CMP-07
SALE-0016;15.09.2024;CAR-006;CUST-2159;DLR-01;41160;Walk-in;(not set)
SALE-0017;15.05.2024;CAR-009;CUST-2330;DLR-01;78200;Web-Campaign;CMP-06
SALE-0018;25.08.2025;CAR-001;CUST-2415;DLR-04;53350;Web-Campaign;CMP-04
SALE-0019;28.04.2023;CAR-006;CUST-1231;DLR-01;40320;Web-Campaign;CMP-13
SALE-0020;21.12.2023;CAR-010;CUST-1011;DLR-03;133000;Web-Organic;(not set)
SALE-0021;10.11.2023;CAR-001;CUST-2393;DLR-04;51150;Walk-in;(not set)
SALE-0022;23.06.2023;CAR-003;CUST-1857;DLR-01;73500;Web-Campaign;CMP-10
SALE-0023;19.05.2023;CAR-013;CUST-1399;DLR-03;75200;Web-Campaign;CMP-12
SALE-0024;28.09.2024;CAR-002;CUST-1141;DLR-04;57040;Web-Campaign;CMP-02
SALE-0024;28.09.2024;CAR-002;CUST-1141;DLR-04;57040;Web-Campaign;CMP-02
SALE-0024;28.09.2024;CAR-002;CUST-1141;DLR-04;57040;Web-Campaign;CMP-02
SALE-0025;28.12.2023;CAR-004;CUST-1794;DLR-03;111550;Web-Organic;(not set)
SALE-0026;29.06.2024;CAR-016;CUST-1068;DLR-04;85360;Web-Campaign;CMP-01
SALE-0027;29.05.2024;CAR-009;CUST-2009;DLR-03;79050;Web-Organic;(not set)
SALE-0028;18.11.2024;CAR-011;CUST-1692;DLR-05;81840;Web-Campaign;CMP-07
SALE-0029;30.06.2024;CAR-009;CUST-1670;DLR-05;79900;Walk-in;(not set)
SALE-0030;02.10.2023;CAR-014;CUST-1497;DLR-05;141000;Web-Campaign;CMP-11
SALE-0031;14.05.2023;CAR-001;CUST-2205;DLR-04;51700;Web-Campaign;CMP-04
SALE-0032;15.08.2024;CAR-013;CUST-1118;DLR-03;78400;Web-Campaign;CMP-06
SALE-0033;03.01.2024;CAR-015;CUST-1209;DLR-04;71610;Walk-in;(not set)
SALE-0034;14.11.2024;CAR-004;CUST-1856;DLR-02;111550;Web-Campaign;CMP-05
SALE-0035;07.07.2025;CAR-011;CUST-1706;DLR-01;86240;Web-Campaign;CMP-10
SALE-0036;15.05.2024;CAR-006;CUST-1962;DLR-05;40320;Walk-in;(not set)
SALE-0037;24.10.2023;CAR-008;CUST-1810;DLR-04;69840;Web-Campaign;CMP-01
SALE-0038;19.10.2024;CAR-016;CUST-1227;DLR-02;82720;Web-Campaign;CMP-09
SALE-0039;01.03.2025;CAR-008;CUST-1474;DLR-04;70560;Walk-in;(not set)
SALE-0040;13.01.2024;CAR-016;CUST-2287;DLR-05;81840;Web-Organic;(not set)
SALE-0041;15.07.2023;CAR-003;CUST-1122;DLR-04;69000;Web-Campaign;CMP-12
SALE-0042;24.05.2023;CAR-002;CUST-1918;DLR-05;60760;Web-Campaign;CMP-04
SALE-0043;21.04.2025;CAR-013;CUST-1849;DLR-03;76800;Web-Organic;(not set)
SALE-0044;16.11.2024;CAR-001;CUST-2348;DLR-01;52800;Web-Campaign;CMP-02
SALE-0045;28.05.2025;CAR-009;CUST-1631;DLR-01;79900;Referral;(not set)
SALE-0046;28.04.2023;CAR-003;CUST-1366;DLR-03;70500;Web-Campaign;CMP-06
SALE-0047;04.12.2024;CAR-016;CUST-1569;DLR-03;84480;Web-Campaign;CMP-06
SALE-0048;22.08.2024;CAR-012;CUST-2381;DLR-05;127400;Web-Campaign;CMP-04
SALE-0049;02.10.2024;CAR-003;CUST-2308;DLR-04;73500;Web-Campaign;CMP-14
SALE-0050;29.04.2024;CAR-002;CUST-1580;DLR-01;58900;Web-Campaign;CMP-11
SALE-0051;06.09.2025;CAR-010;CUST-2475;DLR-05;133000;Web-Organic;(not set)
SALE-0052;16.08.2024;CAR-004;CUST-1835;DLR-03;108100;Web-Campaign;CMP-07
SALE-0053;31.12.2024;CAR-014;CUST-2491;DLR-02;142500;Walk-in;(not set)
SALE-0054;06.01.2024;CAR-007;CUST-2211;DLR-04;63700;Web-Organic;(not set)
SALE-0055;17.09.2025;CAR-012;CUST-1388;DLR-05;120900;Web-Organic;(not set)
SALE-0056;17.08.2025;CAR-001;CUST-1226;DLR-02;52250;Referral;(not set)
SALE-0057;05.01.2024;CAR-010;CUST-1123;DLR-04;134400;Web-Campaign;CMP-13
SALE-0058;21.12.2023;CAR-014;CUST-1831;DLR-04;139500;Web-Campaign;CMP-09
SALE-0059;23.11.2024;CAR-004;CUST-2122;DLR-02;108100;Web-Organic;(not set)
SALE-0060;11.03.2023;CAR-002;CUST-2105;DLR-02;58900;Referral;(not set)
SALE-0061;29.03.2025;CAR-016;CUST-2357;DLR-05;85360;Web-Campaign;CMP-02
SALE-0062;20.03.2023;CAR-014;CUST-2028;DLR-01;144000;Web-Campaign;CMP-07
SALE-0063;17.04.2025;CAR-009;CUST-1013;DLR-04;78200;Web-Campaign;CMP-12
SALE-0064;02.01.2024;CAR-015;CUST-1743;DLR-02;75460;Web-Campaign;CMP-08
SALE-0065;05.07.2024;CAR-016;CUST-1936;DLR-05;86240;Web-Campaign;CMP-07
SALE-0066;02.06.2025;CAR-011;CUST-1742;DLR-05;86240;Walk-in;(not set)
SALE-0067;07.09.2023;CAR-003;CUST-2118;DLR-01;69000;Referral;(not set)
SALE-0068;18.03.2024;CAR-009;CUST-2118;DLR-04;81600;Web-Campaign;CMP-10
SALE-0069;10.01.2024;CAR-011;CUST-1068;DLR-02;80960;Web-Campaign;CMP-12
SALE-0070;18.11.2024;CAR-004;CUST-1060;DLR-04;105800;Web-Campaign;CMP-08
SALE-0071;21.07.2023;CAR-004;CUST-1660;DLR-03;109250;Web-Campaign;CMP-06
SALE-0072;16.09.2025;CAR-015;CUST-1415;DLR-02;72380;Web-Campaign;CMP-03
SALE-0073;30.11.2024;CAR-005;CUST-1456;DLR-02;120000;Web-Organic;(not set)
SALE-0074;12.04.2024;CAR-008;CUST-2062;DLR-03;68400;Web-Campaign;CMP-08
SALE-0075;18.03.2025;CAR-002;CUST-1880;DLR-03;60140;Web-Campaign;CMP-04
SALE-0076;02.06.2024;CAR-013;CUST-1938;DLR-05;74400;Web-Campaign;CMP-09
SALE-0077;11.01.2024;CAR-015;CUST-2152;DLR-03;73150;Walk-in;(not set)
SALE-0078;11.02.2025;CAR-004;CUST-1300;DLR-01;112700;Web-Organic;(not set)
SALE-0079;04.09.2025;CAR-007;CUST-1471;DLR-04;60450;Web-Campaign;CMP-02
SALE-0080;07.08.2024;CAR-006;CUST-2418;DLR-03;41160;Referral;(not set)
SALE-0081;17.10.2023;CAR-013;CUST-2248;DLR-03;77600;Web-Organic;(not set)
SALE-0082;03.06.2025;CAR-010;CUST-1538;DLR-03;130200;Web-Campaign;CMP-01
SALE-0083;16.05.2025;CAR-003;CUST-1361;DLR-05;71250;Web-Organic;(not set)
SALE-0084;21.03.2025;CAR-011;CUST-1003;DLR-02;86240;Walk-in;(not set)
SALE-0085;04.04.2023;CAR-010;CUST-1926;DLR-02;128800;Web-Campaign;CMP-11
SALE-0086;04.07.2023;CAR-006;CUST-1507;DLR-03;39900;Web-Campaign;CMP-09
SALE-0087;06.02.2024;CAR-002;CUST-2105;DLR-02;60140;Web-Campaign;CMP-07
SALE-0088;17.08.2024;CAR-016;CUST-1454;DLR-01;82720;Web-Campaign;CMP-14
SALE-0089;15.08.2025;CAR-014;CUST-1862;DLR-02;147000;Web-Campaign;CMP-02
SALE-0090;05.05.2024;CAR-004;CUST-2434;DLR-01;108100;Referral;(not set)
SALE-0091;23.03.2023;CAR-001;CUST-1147;DLR-04;51150;Web-Campaign;CMP-07
SALE-0092;16.03.2025;CAR-002;CUST-1668;DLR-01;60760;Web-Organic;(not set)
SALE-0093;30.07.2025;CAR-002;CUST-1791;DLR-01;58900;Walk-in;(not set)
SALE-0094;29.06.2023;CAR-006;CUST-1302;DLR-05;38640;Web-Organic;(not set)
SALE-0095;20.02.2025;CAR-003;CUST-1896;DLR-03;71250;Web-Campaign;CMP-04
SALE-0096;09.10.2024;CAR-008;CUST-1507;DLR-01;67680;Web-Campaign;CMP-12
SALE-0097;21.09.2025;CAR-004;CUST-2009;DLR-04;110400;Web-Campaign;CMP-03
SALE-0098;03.01.2025;CAR-013;CUST-1139;DLR-04;78400;Web-Campaign;CMP-04
SALE-0099;24.05.2023;CAR-004;CUST-2025;DLR-02;108100;Web-Campaign;CMP-14
SALE-0100;26.03.2024;CAR-004;CUST-1376;DLR-03;106950;Web-Organic;(not set)
SALE-0101;01.04.2025;CAR-009;CUST-1291;DLR-04;78200;Web-Campaign;CMP-03
SALE-0102;12.11.2023;CAR-008;CUST-1657;DLR-02;66960;Web-Campaign;CMP-01
SALE-0103;12.08.2024;CAR-016;CUST-1784;DLR-04;85360;Web-Campaign;CMP-12
SALE-0104;27.04.2023;CAR-007;CUST-2207;DLR-05;61100;Walk-in;(not set)
SALE-0105;04.05.2024;CAR-005;CUST-1964;DLR-03;121250;Walk-in;(not set)
SALE-0106;24.06.2023;CAR-013;CUST-1146;DLR-01;75200;Web-Organic;(not set)
SALE-0107;13.04.2024;CAR-014;CUST-1811;DLR-03;145500;Web-Organic;(not set)
SALE-0108;18.12.2024;CAR-004;CUST-1095;DLR-04;108100;Web-Campaign;CMP-14
SALE-0109;11.12.2024;CAR-004;CUST-2346;DLR-03;112700;Web-Campaign;CMP-05
SALE-0110;05.07.2025;CAR-015;CUST-1036;DLR-04;74690;Web-Campaign;CMP-02
SALE-0111;20.12.2024;CAR-001;CUST-1332;DLR-05;53900;Web-Campaign;CMP-10
SALE-0112;03.10.2024;CAR-009;CUST-2000;DLR-01;80750;Web-Campaign;CMP-12
SALE-0113;26.05.2025;CAR-009;CUST-1731;DLR-02;82450;Walk-in;(not set)
